title,rate
sai_kha ya her_kisi kay bus ki bat nhi hai lakin main ki hal kal bi aj aur aj bi sirf aus say bus,1
sahi bt_h,1
kya_bt hai,1
wah je wah,1
are wha_kaya bat hai,1
wah_kya baat likhi,1
wha itni sari khubiya,1
itni khubiya,1
ya_allah rehm farma hm sab pe or zalimo_ko hidayat_de ameen,1
please everyone allah swt ka_naam hamesha bary lawzo main likha kary wo he zaat sub_say bari hey,1
ya mere_rab tu bra kreem hy is mulk k halat pr reham frma is watneaziz ki_hifazat frmaamin,1
jaago pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam_ko hi martey han jaago pakistan key logo,1
kia kia jae kon sacha ha allah jany pak kese bdl sakta ha i_think nsl to ase e guzr jain gi bd_me koi hua to pta_ni,1
afsos_hota hai garip insan kha jay allah ki_lati me awaz hai jo zulum kry_ga allah ki_lati pary gi,1
allah insaaf karey,1
allah musalman phir dor_e jahalat me jaraha h hiyaday farma aese_logo ko jo awam ki zindgiyo ko azab bana_rahy hai inko to garak kardy,1
je thik kaha right,1
jee ye to he,1
maa cheez e ase ha jis ka koi namil badl ni,1
wah_wah yeh toh hy,1
zenda bad yar,1
es leay muskurany ki_koshish kia karo_es se wo_loug ju apk rouny pr muskuraty hain wo_loug phir apki hansi pe jalyn gy,1
wha bhut qoob,1
rightor sada time same nahi rehtaaaaaa,1
wha wha_kaya bat hai,1
bohat_khoob so_true alhamdulillah,1
dil me khud aaka ho nala jm hai akbaal sjdo_me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,1
sjdo_me bhi wo hi pda he jis k dil me khuda ka dr he,1
beshaq haq baat hai,1
right ha_but bar_bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,1
right mara jasa masom log,1
ma hun hero tara,1
feel kar speed bot ki,1
isy kahty han hop hip hop powered by abraham tamim,1
great aadmi aadmi,1
in england attaullah_esakhelvi married with_a pakistani ethnography british lady,1
he_has one son with her,1
he got second marriage with bazgha she_is famous manuscript actress and they_have only daughter named laraib and only son named sanwal,1
he received honorable award_from the government of_pakistan and life_time achievement_award from_the queen of england,1
he entered in guinness_book of_world record for the singer of most recorded albums,1
attaullah_esakhelvi ka_shumar un gine chune artists mein kiya_jata hai jin ki_maqboliyat mutarrif hone se le_kar shohrat ke_urooj tak_pohanchne tak radio tv ya film ke marhoon e minnat nahi hai,1
agarcha aise artists mein munni begum aur aziz miyan qawaal ka_naam bhi_shamil hai,1
lekin top_of the_list attaullah_esakhelvi ka_naam he samjha_jata hai,1
jin ki ibtedai_zindagi aur urooj ki_daastan qabil_e rashk bhi hai dilchasp bhi aur kar hawalon se qabil_e taqleed bhi,1
in mein mauseeqi ka shauq paida_hua to inho_ne gungunana shuru_kar diya,1
jab school teachers ne in ki_awaaz suni_to mukesh aur rafi ke_songs ki_farmaiysh karne_lage aur hausla_afzaai karne ke_sath sath yeh dars bhi dete rehte ke singing_na chorna,1
wohi un ki_infaradiyat bana,1
yahin qismat ki devi un par meharban hui aur a rehmat gramophone house a naami aik company_ne un ke_songs ki recording kia a udhar zindagi ka_janaza uthega a aur saraiki geet a naki jae gal tu rus naa ae dhola a choti_si baat par naraz_ho jate ho maahi jab_market mein aae to jaise hulchul mach gai,1
har taraf ataullah_niazi ki singing ka_charcha hone_laga,1
lekin us_daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar_diya,1
radio aur tv jo maand parhte sitaron_ki kafalat he nahi_bal ke ubharte hue artists ke hausla_afzaai ki riwayaat bhi rakhte_hain,1
lekin dosri_taraf village dehaat qasbon buses wagons aur chae khano_mein attaullah_esakhelvi ki_awaaz ka tota bol_raha tha,1
taweel musafat ke_liye buses ka_ticket lene_wale pehle yeh istafsaar bhi karte ke attaullah_esakhelvi ki cassette lagaoge mianwali ke logon ne inhe bataya_ke tumhare naam se esakhel mein hotel khul gae hain,1
jagah jagah tumhari taswirein lagi hain aur mianwali mein sirf tumhari cassette he farokht hoti_hai to attaullah_esakhelvi ne phir esakhel jane ka qasd kiya,1
phir yeh hua ke radio_pakistan ke farmaishi naghmon ke_programs mein log attaullah_esakhelvi ke_songs ki_farmaiysh karte,1
radio hukkam par bhi is_hawale se dabao dala jata ke wo apni nashriyat mein attaullah_esakhelvi ko madaoo karen aur_aakhirkar majboor ho kar_attaullah esakhelvi se radio_pakistan aane ki darkhuwast karni_parhi,1
ki dehaai ka yeh wo zamana_tha jab attaullah_esakhelvi aik cassette ki recording ka_muaawza lac rupees liya karte_the,1
tahum radio_par songs ka_muaawza inhe rupey ka cheque mila jo inho_ne cash nahi karwaya_aur aaj_tak sambhal kar rakha_hua hai,1
sirf yehi nahi_bal ke radio_par recording se_qabal inhe audition awaaz ki qaulity ka imtehaan kea_mal se bhi guzarna_parha,1
phir aahista_aahista un ki singing ne tabqa ishrafia ke drawing rooms cars ke sound systems aur video libraries_mein jagah bana_li,1
beron_e mulk basne_wale pakistani jab watan aate to doston aur aehbaab ki_farmaiysh pori_karne ke_liye barhi tadaad mein in ke cassette tohfatan le_kar jate,1
is_tarah europe aur mashriq wastee mein bhi wo pakistan ki aik manoos aur maqbool awaaz ban_gae,1
mein inho_ne pehli martaba_british ka tour_kiya to wahan bhi dhoom_macha di,1
diyar e ghair mein basne_wale in ke_songs sunn_kar apno ko yaad karte to in ki_aankhon se aansoo rawaaan ho_jate,1
