description,length,rate
 sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi aj aur aj bi sirf aus say bus,100,1
 sahi bt h,100,1
 kya bt hai,100,1
 wah je wah,100,1
 are wha kaya bat hai,100,1
 wah kya baat likhi,100,1
 wha itni sari khubiya,100,1
 itni khubiya,100,1
 ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,100,1
 please everyone allah swt ka naam hamesha bary lawzo main likha kary wo he zaat sub say bari hey,100,1
 ya mere rab tu bra kreem hy is mulk k halat pr reham frma is watneaziz ki hifazat frmaamin,100,1
 jaago pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago pakistan key logo,100,1
 kia kia jae kon sacha ha allah jany pak kese bdl sakta ha i think  nsl to ase e guzr jain gi bd me koi hua to pta ni,100,1
 afsos hota hai garip insan kha jay allah ki lati me awaz hai jo zulum kry ga allah ki lati pary gi,100,1
 allah insaaf karey,100,1
 allah musalman phir dor e jahalat me jaraha h hiyaday farma aese logo ko jo awam ki zindgiyo ko azab bana rahy hai inko to garak kardy,100,1
 je thik kaha right,100,1
 jee ye to he,100,1
 maa cheez e ase ha jis ka koi namil badl ni,100,1
 wah wah yeh toh hy,100,1
 jee ye to he,100,1
 zenda bad yar,100,1
 es leay muskurany ki koshish kia karo es se wo loug ju apk rouny pr muskuraty hain wo loug phir apki hansi pe jalyn gy,100,1
 wha bhut qoob,100,1
 rightor sada time same nahi rehtaaaaaa,100,1
 wha wha kaya bat hai,100,1
 bohat khoob so true alhamdulillah,100,1
 dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,100,1
 sjdo me bhi wo hi pda he jis k dil me khuda ka dr he ,100,1
 beshaq haq baat hai,100,1
 right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,100,1
 right mara jasa masom log,100,1
 mashaallah,100,1
 mubarak,100,1
 ma hun hero tara <,100,1
 feel kar speed bot ki <,100,1
 isy kahty han hop hip hop <:* powered by :* abraham tamim :*,100,1
 great aadmi aadmi,100,1
 in england attaullah esakhelvi married with a pakistani ethnography british lady,100,1
 he has one son with her,100,1
 he got second marriage with bazgha she is famous manuscript actress and they have only daughter named laraib and only son named sanwal,100,1
 he received honorable award from the government of pakistan and life time achievement award from the queen of england,100,1
 he entered in guinness book of world record for the singer of most recorded albums,100,1
 attaullah esakhelvi ka shumar un gine chune artists mein kiya jata hai jin ki maqboliyat mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio tv ya film ke marhoon e minnat nahi hai,100,1
 agarcha aise artists mein munni begum aur aziz miyan qawaal ka naam bhi shamil hai,100,1
 lekin top of the list attaullah esakhelvi ka naam he samjha jata hai,100,1
 jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai dilchasp bhi aur kar hawalon se qabil e taqleed bhi,100,1
 in mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,100,1
 jab school teachers ne in ki awaaz suni to mukesh aur rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,100,1
 wohi un ki infaradiyat bana,100,1
 yahin qismat ki devi un par meharban hui aur â rehmat gramophone house â naami aik company ne un ke songs ki recording kiâ¦ â udhar zindagi ka janaza uthega â aur saraiki geet â naki jae gal tu rus naa ae dhola â ( choti si baat par naraz ho jate ho maahi ) jab market mein aae to jaise hulchul mach gai,100,1
 har taraf ataullah niazi ki singing ka charcha hone laga,100,1
 lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,100,1
 radio aur tv jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,100,1
 lekin dosri taraf village dehaat qasbon buses wagons aur chae khano mein attaullah esakhelvi ki awaaz ka tota bol raha tha,100,1
 taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke attaullah esakhelvi ki cassette lagaoge mianwali ke logon ne inhe bataya ke tumhare naam se esakhel mein hotel khul gae hain,100,1
 jagah jagah tumhari taswirein lagi hain aur mianwali mein sirf tumhari cassette he farokht hoti hai to attaullah esakhelvi ne phir esakhel jane ka qasd kiya,100,1
 phir yeh hua ke radio pakistan ke farmaishi naghmon ke programs mein  % log attaullah esakhelvi ke songs ki farmaiysh karte,100,1
 radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein attaullah esakhelvi ko madaoo karen aur aakhirkar majboor ho kar attaullah esakhelvi se radio pakistan aane ki darkhuwast karni parhi,100,1
  ki dehaai ka yeh wo zamana tha jab attaullah esakhelvi aik cassette ki recording ka muaawza  lac rupees liya karte the,100,1
 tahum radio par songs ka muaawza inhe  rupey ka cheque mila jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai,100,1
 sirf yehi nahi bal ke radio par recording se qabal inhe audition ( awaaz ki qaulity ka imtehaan ) kea mal se bhi guzarna parha,100,1
 phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms cars ke sound systems aur video libraries mein jagah bana li,100,1
 beron e mulk basne wale pakistani jab watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,100,1
